"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
"","Masyn Winn",1,0,0,0,2,2,0,0,0,0,0,0,0,1.000
40,"Willson Contreras",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000
46,"Paul Goldschmidt",1,0,0,0,7,2,0,0,1,0,0,0,0,1.000
28,"Nolan Arenado",1,0,0,0,0,1,0,0,1,0,0,0,0,1.000
33,"Brendan Donovan",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
21,"Lars Nootbar",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
16,"Nolan Gorman",1,0,0,0,4,5,0,0,1,0,0,0,0,1.000
63,"Michael Siani",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
27,"Andrew Kittredge",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
39,"Miles Mikolas",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
59,"JoJo Romero",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,0,0,27,10,0,0,1,0,0,0,0,1.000